bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
더불어민주당,민주당,family_legal_risk,19,6.6499999999999995,7,0.03422542460113227,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,withdrawal_event,10,4.8,2,0.024704065877509007,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,unification_event,9,3.9499999999999997,5,0.020329387545033453,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,gender_generation,9,3.15,4,0.016212043232115288,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,inflation_livelihood,7,3.0999999999999996,4,0.0159547092125579,15th_assembly_issue_phrase_extraction
더불어민주당,민주당,gaffe_event,2,0.7,2,0.003602676273803397,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",corruption_integrity,4,3.35,1,0.14988814317673377,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",security_nk,3,2.75,1,0.12304250559284116,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",economy_growth,3,2.5,1,0.11185682326621924,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",candidate_competence,3,2.35,1,0.10514541387024608,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",regime_change,2,2.0,1,0.08948545861297538,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",family_legal_risk,4,1.4,1,0.06263982102908276,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",foreign_policy,2,1.35,1,0.06040268456375839,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",inflation_livelihood,2,1.35,1,0.06040268456375839,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",education,3,1.0499999999999998,1,0.04697986577181207,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",regional_dev,3,1.0499999999999998,1,0.04697986577181207,15th_assembly_issue_phrase_extraction
더불어민주당,"민주당, 새천년 민주당",unification_event,1,0.75,1,0.03355704697986577,15th_assembly_issue_phrase_extraction
