election_id,assembly_daesu,period,issue_name,target_type,target_name,target_model_eligible,stance_label,sentence_count,weighted_mentions,signed_weight,absolute_directional_weight,directional_balance,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-04-18,foreign_policy,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,foreign_policy,government,청와대,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,foreign_policy,person,윤석열,False,neutral,2,2.25,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,gaffe_event,government,정부,False,neutral,1,0.75,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,gaffe_event,government,청와대,False,neutral,1,1.125,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,gender_generation,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,government,정부,False,attack,1,0.4025,-0.26162500000000005,0.26162500000000005,-1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,government,정부,False,neutral,7,5.203749999999999,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,person,문재인,False,attack,1,0.4025,-0.26162500000000005,0.26162500000000005,-1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,person,문재인,False,neutral,3,1.2075,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,person,윤석열,False,neutral,3,2.5,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,inflation_livelihood,government,정부,False,defend,1,0.385,0.25025000000000003,0.25025000000000003,1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,inflation_livelihood,government,정부,False,neutral,14,9.514999999999999,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,inflation_livelihood,person,박근혜,False,neutral,1,0.385,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,inflation_livelihood,person,윤석열,False,neutral,1,1.21,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,government,정부,False,attack,1,1.0,-0.65,0.65,-1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,government,정부,False,defend,1,0.35,0.22749999999999998,0.22749999999999998,1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,government,정부,False,neutral,3,1.7000000000000002,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,party,국민의힘,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,person,문재인,False,neutral,2,1.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,person,박근혜,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,government,정부,False,attack,1,0.181125,-0.11773125000000001,0.11773125000000001,-1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,government,정부,False,defend,1,0.13475,0.08758750000000001,0.08758750000000001,1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,government,정부,False,neutral,33,8.021312000000002,0.0,0.0,0.0,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,person,문재인,False,attack,1,0.181125,-0.11773125000000001,0.11773125000000001,-1.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,person,문재인,False,neutral,5,0.988875,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,person,박근혜,False,neutral,1,0.13475,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,person,윤석열,False,neutral,2,0.941,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regional_dev,government,정부,False,neutral,2,0.7,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regional_dev,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regional_dev,person,윤석열,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,security_nk,government,정부,False,neutral,4,1.4,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,security_nk,government,청와대,False,neutral,12,4.2,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,security_nk,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,security_nk,person,윤석열,False,neutral,3,1.0499999999999998,0.0,0.0,0.0,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,unification_event,government,청와대,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,unification_event,party,국민의당,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,unification_event,person,안철수,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,welfare_pension,government,정부,False,neutral,7,6.35,0.0,0.0,0.0,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,government,정부,False,attack,2,0.7,-0.45499999999999996,0.45499999999999996,-1.0,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,government,정부,False,neutral,1,1.125,0.0,0.0,0.0,2022-04-25,2022-04-25,2022-04-25,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,party,정의당,False,neutral,1,1.125,0.0,0.0,0.0,2022-04-26,2022-04-26,2022-04-26,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,party,한나라당,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-25,2022-04-25,2022-04-25,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,person,문재인,False,neutral,3,2.75,0.0,0.0,0.0,2022-04-26,2022-04-26,2022-04-26,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,person,윤석열,False,neutral,2,1.4500000000000002,0.0,0.0,0.0,2022-04-25,2022-04-27,2022-04-27,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,person,이재명,False,neutral,1,1.0,0.0,0.0,0.0,2022-04-26,2022-04-26,2022-04-26,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,government,정부,False,attack,8,5.807499999999999,-3.7748749999999998,3.7748749999999998,-1.0,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,government,정부,False,neutral,7,3.7375,0.0,0.0,0.0,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,government,청와대,False,neutral,4,1.5225000000000002,0.0,0.0,0.0,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,party,국민의힘,False,neutral,5,1.8025000000000002,0.0,0.0,0.0,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,party,더불어민주당,False,neutral,8,5.149999999999999,0.0,0.0,0.0,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,party,정의당,False,neutral,4,1.7999999999999998,0.0,0.0,0.0,2022-04-27,2022-04-29,2022-04-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,person,노무현,False,neutral,1,0.4025,0.0,0.0,0.0,2022-04-29,2022-04-29,2022-04-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,person,문재인,False,neutral,15,12.65,0.0,0.0,0.0,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,person,박근혜,False,neutral,1,0.35,0.0,0.0,0.0,2022-04-26,2022-04-26,2022-04-26,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,person,윤석열,False,neutral,10,6.4799999999999995,0.0,0.0,0.0,2022-04-25,2022-04-27,2022-04-27,assembly_stance_full_corpus_v1
